Nome_A;Endereco_A;Nome_B;Endereco_B;Similaridade
Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;Edificio Barra da Tijuca;Av. Ayrton Senna, 2200 - Barra da Tijuca - Rio de Janeiro - RJ;0.82
Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;GRAND PLAZA SHOPPNG;Avenida Industrial, nº 600, Centro, Santo André, SP;0.86
Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;Downtown Shopping;Avenida das Américas 500, Barra da Tijuca, Rio de Janeiro, RJ, 59064-900;0.75
Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;Centro Empresarial Barra Shopping - Edifício Montreal;Avenida Das Americas, 4200, Bloco 5, Barra Da Tijuca, Rio De Janeiro/RJ, 22640-907;0.75
Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;GREEN PARK BARRA (Lt. 1 Fases - 1 e 2);Avenida das Américas, 1300 - Barra da Tijuca - Rio de Janeiro, RJ;0.82
Dom Gerado 46;Rua Dom Gerardo nº46, centro, Rio de Janeiro;Dom Gerado 42;Rua Dom Gerardo nº42, centro, Rio de Janeiro;0.78
Dom Gerado 46;Rua Dom Gerardo nº46, centro, Rio de Janeiro;DOM GERARDO ,46;Rua Dom Gerardo nº 46, centro, Rio de Janeiro;0.7
Visconde de Inhauma;Rua Visconde de Inhauma, 95, centro, Rio de Janeiro;HOTEL SÃO FRANCISCO;Rua Visconde de Inhaúma, 95 - Centro - Rio de Janeiro/RJ;0.89
Cardeal Leme;Rua Teófilo Otoni, 82. Centro. Rio de Janeiro.;TEÓFILO OTONI, 82;R. Teófilo Otoni, 82 - Centro, Rio de Janeiro - RJ, 20090-070;0.89
Uruguaiana, 78;Rua Uruguaiana nº 78, centro, Rio de Janeiro;Uruguaiana, 76;Rua Uruguaiana nº 76, centro, Rio de Janeiro;0.78
Rio Branco 45;Avenida Rio Branco nº45, centro, Rio de Janeiro;RB 115;Avenida Rio Branco, 115, Centro, Rio de Janeiro;0.75
Golden Corporate;Rua Buenos Aires nº48, centro, Rio de Janeiro;Buenos Aires Corporate;Rua Buenos Aires, 15, Centro, Rio de Janeiro - RJ;0.78
Hub - Coliving;Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ;HUB - MARRECAS 11 E 13;Rua das Marrecas, n° 11 e 13 - Centro - Rio de Janeiro - RJ;0.9
Touch;Rua Jardim Botânico, 568 - Jardim Botanico, Rio de Janeiro - RJ;Touch;Rua Jardim Botânico, nº 568, conjunto 301, Jardim Botânico, Rio de Janeiro/RJ;0.78
Touch;Rua Jardim Botânico, nº 568, conjunto 301, Jardim Botânico, Rio de Janeiro/RJ;Centro Empresarial Sylvio Fraga;Rua Jardim Botânico, 97, Jardim Botânico, Rio de Janeiro/RJ;0.7
Joaquim Floriano;R. Joaquim Floriano, 717- São Paulo - SP;Ag. Estilo Joaquim Floriano;R. Joaquim Floriano, 666, São Paulo-SP;0.71
Moinhos Shopping;Rua Olavo Barreto Viana, nº 36;Hotel Sheraton Porto Alegre;Rua Olavo Barreto Viana, nº 18;0.71
Edifício Alameda Santos;Alameda Santos, 1.800 -;EDIFÍCIO BRAVO! PAULISTA;Alameda Santos, 1.800 - Jardins;0.8
PQ CULTURAL PAULISTA;Avenida Paulista, 37, São Paulo/SP;Shopping Cidade São Paulo;Avenida Paulista 1230, São Paulo, SP, 01310-100;0.71
PQ CULTURAL PAULISTA;Avenida Paulista, 37, São Paulo/SP;Edifício Santa Catarina;Avenida Paulista, 287 - São Paulo (SP);0.71
PQ CULTURAL PAULISTA;Avenida Paulista, 37, São Paulo/SP;Ibis São Paulo Paulista;Av. Paulista 2355,  São Paulo, SP, 01311-300;0.71
CETENCO PLAZA;Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP;Paulista Office Park;Av. Paulista, 1912 - Cerqueira César, São Paulo - SP, 01311-000;0.78
INTERNACIONAL RIO;Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ;Edifício Flamengo Park Towers;Praia do Flamengo nº 66 Bloco A, Rio de Janeiro, RJ, 22210-030;0.8
INTERNACIONAL RIO;Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ;Ed. Flamengo;Praia do Flamengo, 66 - Flamengo, Rio de Janeiro - RJ, 22210-030;0.7
